Date,Good time to Buy,Uncertain,Bad time to Buy,Relative
2015-11-30,70.0,7.0,23.0,147.0
2015-10-31,68.0,4.0,28.0,140.0
2015-09-30,65.0,6.0,29.0,136.0
2015-08-31,66.0,7.0,27.0,139.0
2015-07-31,70.0,5.0,25.0,145.0
2015-06-30,69.0,7.0,24.0,145.0
2015-05-31,65.0,8.0,27.0,138.0
2015-04-30,71.0,4.0,25.0,146.0
2015-03-31,66.0,7.0,27.0,139.0
2015-02-28,69.0,5.0,26.0,143.0
2015-01-31,74.0,3.0,23.0,151.0
2014-12-31,68.0,5.0,27.0,141.0
2014-11-30,70.0,6.0,24.0,146.0
2014-10-31,69.0,7.0,24.0,145.0
2014-09-30,65.0,6.0,29.0,136.0
2014-08-31,62.0,7.0,31.0,131.0
2014-07-31,64.0,7.0,29.0,135.0
2014-06-30,61.0,8.0,31.0,130.0
2014-05-31,62.0,7.0,31.0,131.0
2014-04-30,64.0,6.0,30.0,134.0
2014-03-31,61.0,10.0,29.0,132.0
2014-02-28,65.0,8.0,27.0,138.0
2014-01-31,68.0,6.0,26.0,142.0
2013-12-31,65.0,6.0,29.0,136.0
2013-11-30,57.0,6.0,37.0,120.0
2013-10-31,65.0,6.0,29.0,136.0
2013-09-30,60.0,6.0,34.0,126.0
2013-08-31,62.0,7.0,31.0,131.0
2013-07-31,66.0,9.0,25.0,141.0
2013-06-30,65.0,6.0,29.0,136.0
2013-05-31,70.0,5.0,25.0,145.0
2013-04-30,62.0,7.0,31.0,131.0
2013-03-31,62.0,6.0,32.0,130.0
2013-02-28,60.0,6.0,34.0,126.0
2013-01-31,61.0,6.0,33.0,128.0
2012-12-31,62.0,6.0,32.0,130.0
2012-11-30,60.0,8.0,32.0,128.0
2012-10-31,59.0,6.0,35.0,124.0
2012-09-30,66.0,5.0,29.0,137.0
2012-08-31,61.0,5.0,34.0,127.0
2012-07-31,63.0,5.0,32.0,131.0
2012-06-30,61.0,6.0,33.0,128.0
2012-05-31,64.0,4.0,32.0,132.0
2012-04-30,63.0,6.0,31.0,132.0
2012-03-31,59.0,4.0,37.0,122.0
2012-02-29,59.0,5.0,36.0,123.0
2012-01-31,58.0,7.0,35.0,123.0
2011-12-31,56.0,5.0,39.0,117.0
2011-11-30,60.0,6.0,34.0,126.0
2011-10-31,54.0,4.0,42.0,112.0
2011-09-30,55.0,3.0,42.0,113.0
2011-08-31,53.0,5.0,42.0,111.0
2011-07-31,53.0,5.0,42.0,111.0
2011-06-30,58.0,3.0,39.0,119.0
2011-05-31,60.0,7.0,33.0,127.0
2011-04-30,56.0,7.0,37.0,119.0
2011-03-31,60.0,5.0,35.0,125.0
2011-02-28,59.0,5.0,36.0,123.0
2011-01-31,58.0,6.0,36.0,122.0
2010-12-31,65.0,5.0,30.0,135.0
2010-11-30,62.0,6.0,32.0,130.0
2010-10-31,60.0,5.0,35.0,125.0
2010-09-30,59.0,7.0,34.0,125.0
2010-08-31,65.0,5.0,30.0,135.0
2010-07-31,62.0,5.0,33.0,129.0
2010-06-30,68.0,3.0,29.0,139.0
2010-05-31,68.0,3.0,29.0,139.0
2010-04-30,70.0,2.0,28.0,142.0
2010-03-31,62.0,7.0,31.0,131.0
2010-02-28,62.0,2.0,36.0,126.0
2010-01-31,60.0,6.0,34.0,126.0
2009-12-31,61.0,5.0,34.0,127.0
2009-11-30,61.0,4.0,35.0,126.0
2009-10-31,59.0,6.0,35.0,124.0
2009-09-30,61.0,4.0,35.0,126.0
2009-08-31,68.0,3.0,29.0,139.0
2009-07-31,63.0,5.0,32.0,131.0
2009-06-30,68.0,3.0,29.0,139.0
2009-05-31,65.0,2.0,33.0,132.0
2009-04-30,62.0,5.0,33.0,129.0
2009-03-31,60.0,5.0,35.0,125.0
2009-02-28,61.0,5.0,34.0,127.0
2009-01-31,61.0,2.0,37.0,124.0
2008-12-31,59.0,3.0,38.0,121.0
2008-11-30,56.0,3.0,41.0,115.0
2008-10-31,47.0,4.0,49.0,98.0
2008-09-30,52.0,4.0,44.0,108.0
2008-08-31,49.0,5.0,46.0,103.0
2008-07-31,49.0,5.0,46.0,103.0
2008-06-30,43.0,5.0,52.0,91.0
2008-05-31,45.0,6.0,49.0,96.0
2008-04-30,51.0,8.0,41.0,110.0
2008-03-31,54.0,6.0,40.0,114.0
2008-02-29,55.0,9.0,36.0,119.0
2008-01-31,56.0,7.0,37.0,119.0
2007-12-31,56.0,5.0,39.0,117.0
2007-11-30,55.0,7.0,38.0,117.0
2007-10-31,60.0,8.0,32.0,128.0
